index,Place_name,Address1,Reviewscount,Total_score,Latitude,Longitude,Category
80,Ganesh Mandir,"M8QJ+692, Kathmandu 44600",14,4.1,27.6880181,85.3308855,Temple
81,Shree Kaal Bhairav Temple,"Hanuman Dhoka Road, Kathmandu 44600",1706,4.7,27.7047758,85.3071243,Temple
82,Jagannath Temple,"P834+VWC, Hanuman Dhoka Road, Kathmandu 44600",85,4.7,27.7046884,85.3072686,Temple
83,???? ?????? ??????,"Layaku Marg, Kathmandu 44600",569,4.6,27.704106,85.3059307,Temple
84,Palah: Dya,"temple, NewRoad, beside, Kathmandu 44600",1030,4.6,27.7020825,85.311965,Temple
85,Shree Tanadevi Tarani Bhawani Temple,"P845+38P, Makha Galli, Kathmandu 44600",32,4.6,27.7052046,85.3083188,Temple
86,Seto Machhindra Nath Temple,"P846+M3H, Siddhidas Marg, Kathmandu 44600",1359,4.6,27.7066835,85.3102246,Temple
87,Kasthamandap,Kathmandu 44600,965,4.6,27.7039105,85.3058891,Temple
88,Kageshwor Mahadev Temple,"P834+XXP, Hanuman Dhoka Road, Kathmandu 44600",44,4.5,27.7049613,85.3074532,Temple
89,Degu Talle Temple,"P834+QRV, Indra Chok Road, Kathmandu 44600",6,4.5,27.7044937,85.3070612,Temple
90,Mahendreshwor Temple,"P844+3W, Kathmandu 44600",18,4.5,27.7053356,85.3076792,Temple
91,Dhansa Temple,"P834+F9W, ??? ?????? ?????, Kathmandu 44600",8,4.9,27.703741,85.3059599,Temple
92,Swët Bhairab (Hatha/Hathu Dyo),"P834+QQX, ????? ???, Kathmandu 44600",104,4.6,27.7044823,85.3069879,Temple
93,Chyasin Dega (Krishna Temple),"Kot Square, Gangalal Marg, Kathmandu 44600",5,4.2,27.7047431,85.3068601,Temple
94,Akash Bhairab Temple,Kathmandu 44600,597,4.6,27.7060234,85.3094803,Temple
95,Kathmandu Durbar Square,Kathmandu 44600,34658,4.5,27.7042737,85.307463,Temple
96,Shiva-Parvati Temple,"Gangalal Marg 22, Kathmandu 44600",5,4.4,27.7043943,85.3065221,Temple
97,Basantapur Rakkhakali Mondir,"P834+MJJ, Kathmandu 44600",,,27.7042221,85.3065127,Temple
98,Trailokya Mohan Narayan Temple,"P834+HGF, Layaku Marg, Kathmandu 44600",38,4.4,27.7039301,85.3062934,Temple
99,Taleju Bhawani Temple,"Layaku Marg, Kathmandu 44600",901,4.6,27.7049154,85.3080467,Temple
100,Ganesh Temple,"P856+2V4, Sundhara Marg, Kathmandu 44600",62,4.3,27.7075132,85.3122004,Temple
101,Budhanilkantha Narayan,"P8P5+Q78, Kathmandu 44600",27.736901,127,4.6,85.3082,Temple
102,Bhadrakali Temple,"M8X8+PP9, ????????? ?????? ???, Kathmandu 44600",27.699277,878,4.5,85.3168549,Temple
103,Budhanilkantha Temple,"Nepal Vipassana Meditation Center Rd 44600, Budhanilkantha 44600",27.7780545,9434,4.6,85.3623215,Temple
104,???? ?????? ??????,"Layaku Marg, Kathmandu 44600",27.704106,569,4.6,85.3059307,Temple
105,Vishnu temple,"M8W5+X48, ???? ?????, Kathmandu 44600",27.6974005,10,4.2,85.3078412,Temple
106,Kumari Temple,"P8PX+G45, Budhanilkantha 44600",27.7362593,13,4.6,85.3478469,Temple
107,?????????? ?????? ??????,"Milan Chowk Galli 01, Budhanilkantha 44600",27.7316184,65,4.4,85.3543548,Temple
108,?????????? ??????,"P9V2+PV3, Unnamed Road,, Budhanilkantha 44600",27.7442501,56,4.5,85.3521675,Temple
109,Rudreshwor Mahadev Temple,"Q977+QRV, Budhanilkantha 44602",27.7644878,36,4.3,85.3645487,Temple
110,Ganesh Temple,"P9P4+8G2, Budhanilkantha 44600",27.7357551,28,4.4,85.3562701,Temple
111,Radha Krishna Mandir,"Ward no 1, Faika Tole, 44600",27.7301057,68,4.4,85.3602216,Temple
112,"Krishna Mandir,Kapan","P9R7+6G7, Budhanilkantha 44600",27.7405365,47,4.4,85.363796,Temple
113,Ram Mandir Budhanilkantha,"14, Budhanilkantha School Main Rd, Budhanilkantha 44600",27.7449394,69,4.2,85.3597684,Temple
114,Jagannath Temple Mahankal (??????? ?????? ????????),"Q932+G57, Budhanilkantha 44600",27.7537804,41,4.5,85.3504334,ous De
115,RamSita Mandir,"Q87V+347, Budhanilkantha 44610",27.7626595,32,4.4,85.342792,Temple
116,Bagalamukhi Temple,Budhanilkantha 44600,27.7385687,51,4.4,85.3632604,Temple
117,Narayan temple,"P8HW+9C8, ????? ???, Budhanilkantha 44600",27.7284053,5,4.4,85.3460746,Temple
118,Haleshwor Mahadev Temple,Budhanilkantha 44600,27.7432635,9,4.8,85.3551526,Temple
119,ISKCON Radha Krishna temple,"Q9M4+GF4, Budhanilkantha School Main Rd, Budhanilkantha 44600",27.7836549,1305,4.6,85.3569996,Temple
120,Durga Mandir Kapan,4,27.7339766,172,4.1,85.3607599,Temple
121,Haadi Bistro & Cafe: Biryani Restaurant in Kathmandu,"Dafter Marg, Kathmandu 44600",3085,4.7,27.7023979,85.3083635,Restaurant
122,Dak-Galbi Korean House,"Lyakusa Galli, Kathmandu 44600",163,4.7,27.7032351,85.3080056,Restaurant
123,Monster Meal,"Dharma Path, Kathmandu 44600",314,4.4,27.7031497,85.3089634,Restaurant
124,Morrison Cafe,"?????????: ?????, Kathmandu 44600",97,4.3,27.7034184,85.307098,Restaurant
125,BBQ Buddy Basantapur,"P825+X39, ?????????? ?????, Kathmandu 44600",80,4.6,27.7023277,85.3078233,Restaurant
126,Roof Restro Inn,"Freak St, Kathmandu 44600",38,4.7,27.7021695,85.3077242,Restaurant
